Kinase Uniprot ID	Kinase Name	Kinase Group	Kinase Family	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
Q16566	CaMK4	CAMK	CAMK1	1.65386151580755	1.68480389373326	3.33866540954081	3.31515463835559	-0.429994942637256	-0.429778479838216	0.0255716533259093	8
P16066	ANP[alpha]	RGC	RGC	1.32084961260806	0.810816452468709	2.13166606507677	2.15366288787019	-0.275617159952062	-0.262640979177877	0.0395611265010714	13.8888888888889
O75116	ROCK2	AGC	DMPK	1.05183967476293	0.628930684192445	1.68077035895538	2.14170347546611	0.437618167840603	0.564302513253287	0.201635801175811	4.4
O43930	PRKY	AGC	PKA	1.2882158829441	0.866731723302569	2.15494760624667	2.11918640771921	-0.43428719639712	-0.531791513758912	0.126057741722444	7.11111111111111
Q16512	PKN1/PRK1	AGC	PKN	1.15507929543125	0.836545460521326	1.99162475595257	1.99162475595257	0.465885446287711	0.465885446287711	0.179154717904644	4.5
O43293	DAPK3	CAMK	DAPK	0.84163750790475	0.950781977329818	1.79241948523457	1.79241948523457	0.432957305851995	0.432957305851995	NA	3
Q13164	ERK5	CMGC	MAPK	0.430320597341359	0.801540192410006	1.23186078975136	1.71273587420102	0.23636956651511	0.227042600100279	0.169914714265684	4.71428571428571
Q9UBS0	p70S6K[beta]	AGC	RSK	1.02932164681706	0.796853915200069	1.82617556201713	1.70509308939481	-0.219079034951204	-0.179365310312222	0.126427800594018	19.8888888888889
Q13464	ROCK1	AGC	DMPK	0.96844595850069	0.714168871911749	1.68261483041244	1.68261483041244	0.519277140075923	0.519277140075923	0	3
P11802	CDK4	CMGC	CDK	0.434152181326482	1.13076828026902	1.56492046159551	1.56492046159551	-0.255898461208505	-0.255898461208505	NA	4
P31749	Akt1/PKB[alpha]	AGC	AKT	0.397036949243761	1.01798572878571	1.41502267802947	1.52566716244783	-0.0883887060674073	-0.0969961502596884	0.0170130259490129	20.3333333333333
P48729	CK1[alpha]	CK1	CK1	0.690107237167381	0.695362481861962	1.38546971902934	1.42578347281254	-0.270351462496123	-0.262580768404762	0.0483798439284729	6.88888888888889
Q00537	PCTAIRE2	CMGC	CDK	0.823908740944319	0.559090917934782	1.3829996588791	1.3829996588791	0.460792011877981	0.460792011877981	NA	3
Q00532	CDKL1	CMGC	CDKL	0.59176003468815	0.721246399047171	1.31300643373532	1.31300643373532	0.392365710356445	0.392365710356445	NA	3
O14920	IKK[beta]	Other	IKK	0.15541362555923	0.718214496180308	0.873628121739538	1.29895036927086	0.068985428651795	0.129878757092374	0.102149670772101	3.66666666666667
P05771	PKC[beta]	AGC	PKC	0.740063554678646	0.534940761087783	1.27500431576643	1.27934464344828	0.290552983802029	0.290552983802029	0	6
P51812	RSK2	AGC	RSK	0.875818648571369	0.394498726311941	1.27031737488331	1.25730628353722	0.330979507963069	0.330979507963069	0	6
P24723	PKC[eta]	AGC	PKC	0.581270776259537	0.408113868454009	0.989384644713546	1.24090655901084	0.165689717721624	0.193380242495858	0.10258790445527	9.22222222222222
Q16539	MAPK14	CMGC	MAPK	0.540252169737423	0.536071286794849	1.07632345653227	1.13631324067311	-0.180345434530094	-0.22366509575198	0.172950397388068	5.5
O75582	MSK1	AGC	RSK	0.732727385571894	0.380404191661785	1.11313157723368	1.11500084291726	0.324434773287288	0.324434773287288	0	5
Q15139	PKD1	CAMK	PKD	0.376489392657531	0.70652280942121	1.08301220207874	1.09691001300806	-0.23523734750182	-0.23523734750182	0	4
P04049	RAF1	TKL	RAF	0.371474059276214	0.669948965339004	1.04142302461522	1.05252706593452	0.206118226272576	0.211861210519384	0.0172289527404223	4.88888888888889
Q14164	IKK[epsilon]	Other	IKK	0.25571362828538	0.715705685340456	0.971419313625836	1.04279511249747	-0.148581036630489	-0.166338600984564	0.0352365743783328	4.77777777777778
P49137	MAPKAPK2	CAMK	MAPKAPK	0.268528109461665	0.899971817341295	1.16849992680296	1.02572785701798	-0.0682789153982839	-0.0651125692162366	0.0176848270453733	20.6666666666667
Q9HBY8	SGK2	AGC	SGK	0.531438094795751	0.5475945066116	1.07903260140735	0.963690556275562	-0.155412111423151	-0.165394559927114	0.0325847794696121	11.3333333333333
Q04759	PKC[theta]	AGC	PKC	0.591409257445389	0.374020575039799	0.965429832485189	0.902118255286132	0.152586336282603	0.154448035930822	0.017808881545707	14.3333333333333
P41743	PKC[iota]	AGC	PKC	0.20688956144618	0.441116799796662	0.648006361242842	0.857760748149763	-0.0899958426595701	-0.128029924084989	0.0453263569051985	8.66666666666667
P42345	mTOR/FRAP	Atypical	PIKK	0.273441976015144	0.634225445277489	0.907667421292632	0.85404571686735	-0.147298562779814	-0.134591460761314	0.0190606530277511	5.33333333333333
O96017	CHK2	CAMK	RAD53	0.321728764099764	0.505162388610607	0.826891152710371	0.838428376370659	-0.0923211143489842	-0.104397122324817	0.048626358896268	15.6666666666667
O95819	HGK/ZC1	STE	STE20	0.438381974347942	0.399705151275242	0.838087125623184	0.835030180116803	-0.298425352112636	-0.298425352112636	0	3
P17252	PKC[alpha]	AGC	PKC	0.480176409783513	0.48827789234817	0.968454302131683	0.832186612106056	0.109069081154856	0.0812527885269637	0.0397822738409595	20.5555555555556
Q05513	PKC[zeta]	AGC	PKC	0.537558176566716	0.402652627355591	0.940210803922307	0.826277752495536	0.244893511634243	0.223996802691313	0.0414656213120186	5.22222222222222
Q13131	AMPK[alpha]1	CAMK	CAMKL	0.248174508974589	0.525382957245815	0.773557466220404	0.824499783439765	0.0955815896073802	0.113222800796317	0.0342870853227274	10.4444444444444
