Kinase Uniprot ID	Kinase Name	Kinase Group	Kinase Family	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
Q05655	PKC[delta]	AGC	PKC	2.21189536280034	2.50139764318228	4.71329300598262	4.61978875828839	-1.02223891375208	-1.03123621048534	0.0132895716255518	17.7777777777778
P05771	PKC[beta]	AGC	PKC	1.71937290558576	2.50139764318228	4.22077054876804	4.2518119729938	-1.12351732143693	-1.12351732143693	0	6
P05129	PKC[gamma]	AGC	PKC	1.52544185715251	2.46794986588628	3.99339172303879	4.09691001300806	-1.04453546706351	-1.03786216884269	0.0493185597041083	9.88888888888889
P24723	PKC[eta]	AGC	PKC	1.15762243038501	2.52096333863291	3.67858576901792	3.95078197732982	-1.01391312563929	-1.04338706704304	0.115190518908473	10
O14757	CHK1	CAMK	CAMKL	1.2090219687383	2.59862667244803	3.80764864118632	3.87942606879415	-1.0830147846261	-1.07363329260589	0.0169525582154134	5
Q96Q40	PFTAIRE2	CMGC	CDK	0.910303087334147	2.59862667244803	3.50892975978217	3.59859945921846	-1.04420176302586	-1.04321380132619	0.00296388509900399	3.88888888888889
P17252	PKC[alpha]	AGC	PKC	1.22552694407459	2.50139764318228	3.72692458725687	3.48412615628832	-0.952021336504737	-0.919901093398136	0.0397080664817969	22.3333333333333
O43930	PRKY	AGC	PKA	0.678841646799859	2.45171341747759	3.13055506427745	3.38933983691012	-0.960066480183472	-0.994643559358187	0.0624247523526425	7.66666666666667
P48729	CK1[alpha]	CK1	CK1	1.03144818816628	2.30071097940629	3.33215916757257	3.2518119729938	-1.01826886043062	-1.00918066625826	0.0113148543645157	6.88888888888889
Q96S38	RSKL1	AGC	RSKL	0.489454989793388	2.69897000433602	3.18842499412941	3.18842499412941	-0.930959505998203	-0.930959505998203	NA	3
Q16512	PKN1/PRK1	AGC	PKN	0.753201275499737	2.39794000867204	3.15114128417177	3.15114128417177	-0.987378371323307	-0.987378371323307	0.0125711272886516	4.5
Q96GD4	AurB/Aur1	Other	AUR	0.901285153910756	2.35312500416551	3.25441015807627	3.09474395125155	-1.043753370806	-1.01820221133829	0.0507015102456779	3.77777777777778
Q02156	PKC[epsilon]	AGC	PKC	0.5632705858092	2.44838417043565	3.01165475624485	3.08196966321512	-0.907228248991251	-0.897696780028426	0.0306352159209605	15.8888888888889
O14965	AurA/Aur2	Other	AUR	0.661676331421919	2.35683875477517	3.01851508619709	3.04000516167158	-0.969891798834006	-0.969891798834006	0	4
Q04759	PKC[theta]	AGC	PKC	0.452192489240298	2.50139764318228	2.95359013242258	2.998266287191	-0.888576001047019	-0.892200197563789	0.011190933897859	17.3333333333333
Q13535	ATR	Atypical	PIKK	0.573175626006531	2.35880861777077	2.93198424377731	2.95078197732982	-0.955658136062914	-0.953198041874455	0.00738028256537596	3.88888888888889
Q9HBY8	SGK2	AGC	SGK	0.707027105303906	2.30071097940629	3.0077380847102	2.88739499846543	-0.939623535023074	-0.938209257588784	0.0201356406149749	11.5555555555556
P53778	p38[gamma]	CMGC	MAPK	0.483604324468381	2.21790018282055	2.70150450728893	2.77395337549113	-0.912224002998723	-0.966400411187605	0.108352816377766	3.25
P41743	PKC[iota]	AGC	PKC	0.482626837142607	2.2085661157584	2.69119295290101	2.7476324855401	-0.915597158599512	-0.931122410666648	0.0198821401915907	9.66666666666667
